李清照	04173012	1	98	56	45	36	53	30
王小银	04173099	-842150451	100	100	100	100	100	100
山巨源	04173028	1	98	46	23	45	78	32
欧阳修	04173020	1	96	45	78	35	64	21
杰拉德	04173032	2	88	32	49	61	45	30
都德	04173034	2	87	40	30	20	15	12
兰波	04173031	2	86	43	55	13	55	36
马铭骏	04173007	1	85	33	45	78	43	45
赵信	04173008	1	85	32	45	62	32	45
元稹	04173013	1	85	36	21	34	86	28
柳宗元	04173019	1	85	93	46	84	93	45
孟尝君	04173022	1	85	93	16	77	63	78
钟鑫	04173004	1	84	89	56	23	45	56
信陵君	04173026	1	84	96	31	84	85	52
李梦玥	04173003	1	79	19	85	69	23	45
李万彬	04173002	1	78	15	54	62	78	65
李白	04173009	1	78	89	95	63	78	78
周邦彦	04173014	1	78	89	63	24	59	79
菲茨	04173038	2	78	12	41	20	73	0
刘禹锡	04173027	1	64	53	78	12	23	54
陆游	04173016	1	49	78	78	60	16	65
孟郊	04173017	1	49	86	32	64	86	86
左拉	04173033	2	48	73	60	61	80	20
王舜	04173001	1	45	56	78	98	52	32
兰超	04173006	1	45	78	56	23	45	14
杜甫	04173010	1	45	56	78	89	23	45
苏轼	04173015	1	45	78	96	35	78	54
崔颢	04173030	1	45	56	78	15	56	78
莫里哀	04173037	2	45	71	50	31	45	22
辛弃疾	04173011	1	38	93	14	45	88	66
曾巩	04173021	1	32	0	0	19	98	56
春申君	04173024	1	32	45	67	74	51	46
马绍博	04173005	1	23	45	78	89	56	23
平原君	04173023	1	23	85	96	94	78	96
鲍照	04173025	1	23	45	78	97	65	76
莫泊桑	04173036	2	20	13	46	78	10	35
梭罗	04173039	2	13	42	84	20	13	11
司各特	04173040	123456	13	42	84	20	13	11
司汤达	04173041	123456	13	42	84	20	13	11
果戈里	04173042	123456	13	42	84	20	13	11
薄伽丘	04173043	123456	13	42	84	20	13	11
歌德	04173044	123456	13	42	84	20	13	11
狄更斯	04173045	123456	13	42	84	20	13	11
欧亨利	04173046	123456	13	42	84	20	13	11
海明威	04173047	123456	13	42	84	20	13	11
王尔德	04173048	123456	13	42	84	20	13	11
拜伦	04173049	123456	13	42	84	20	13	11
王小波	04173050	123456	13	42	84	20	13	11
刘慈欣	04173051	123456	13	42	84	20	13	11
芥川	04173052	123456	13	42	84	20	13	11
太宰治	04173053	123456	13	42	84	20	13	11
村上	04173054	123456	13	42	84	20	13	11
纪伯伦	04173055	123456	13	42	84	20	13	11
龙之介	04173056	123456	13	42	84	20	13	11
三岛	04173057	123456	13	42	84	20	13	11
由纪夫	04173058	123456	13	42	84	20	13	11
东野	04173059	123456	13	42	84	20	13	11
织田	04173060	123456	13	42	84	20	13	11
武田	04173061	123456	13	42	84	20	13	11
柴田	04173062	123456	13	42	84	20	13	11
丰臣	04173063	123456	13	42	84	20	13	11
羽柴	04173064	123456	13	42	84	20	13	11
一色	04173065	123456	13	42	84	20	13	11
毛利	04173066	123456	13	42	84	20	13	11
足利	04173067	123456	13	42	84	20	13	11
大内	04173068	123456	13	42	84	20	13	11
岛津	04173069	123456	13	42	84	20	13	11
直江	04173070	123456	13	42	84	20	13	11
大谷	04173071	123456	13	42	84	20	13	11
德川	04173072	123456	13	42	84	20	13	11
长野	04173073	123456	13	42	84	20	13	11
大友	04173074	123456	13	42	84	20	13	11
龙造寺	04173075	123456	13	42	84	20	13	11
长宗	04173076	123456	13	42	84	20	13	11
我部	04173077	123456	13	42	84	20	13	11
佐佐	04173078	123456	13	42	84	20	13	11
上杉	04173079	123456	13	42	84	20	13	11
真田	04173080	123456	13	42	84	20	13	11
松平	04173081	123456	13	42	84	20	13	11
今川	04173082	123456	13	42	84	20	13	11
木下	04173083	123456	13	42	84	20	13	11
伊达	04173084	123456	13	42	84	20	13	11
南部	04173085	123456	13	42	84	20	13	11
大久保	04173086	123456	13	42	84	20	13	11
宫本	04173087	123456	13	42	84	20	13	11
佐久间	04173088	123456	13	42	84	20	13	11
三好	04173089	123456	13	42	84	20	13	11
松永	04173090	123456	13	42	84	20	13	11
福楼拜	04173035	2	12	23	45	10	30	10
韩愈	04173018	1	0	59	38	16	78	89
杜牧	04173029	1	0	87	0	61	0	12
